store_producto_id;store_producto_nombre;store_producto_imagen;store_producto_imagen2;store_producto_imagen3;store_producto_imagen4;store_producto_imagen5;store_producto_imagen6;store_producto_imagen7;store_producto_imagen8;store_producto_imagen9;store_producto_video;store_producto_descripcion;store_producto_valor;store_producto_moneda;store_producto_cantidad;store_producto_negocio;store_producto_categoria;store_producto_subcategoria;store_producto_subcategoria2;store_producto_fecha;store_producto_estado;store_producto_sku;store_producto_promocion;store_producto_promocion_tipo;store_producto_promocion_valor;store_producto_promocion_inicio;store_producto_promocion_fin;store_producto_promocion_texto;store_producto_etiqueta;store_producto_etiqueta_color;store_producto_tags;store_producto_archivo_digital;store_producto_sugeridos;store_producto_negocio_categoria;store_producto_negocio_subcategoria;store_producto_tipo;store_producto_tipoproducto;store_producto_enlace_digital;store_producto_tienda;store_producto_envio_peso;store_producto_envio_dimenciones;store_producto_envio_tipo;store_producto_envio_local;store_producto_envio_nacional;store_producto_envio_internacional;store_producto_envio_empresa;store_producto_correo_cotizacion;store_producto_caracteristicas;store_producto_caracteristicas_id;store_producto_caracteristicas_opciones;store_producto_nuevo;store_producto_devolucion;store_producto_ubicacion;store_producto_vendido
32669;"ZAPATILLAS TIPO NEW BALANCE";img_3773.JPG;img_3775.jpeg;img_3777.jpeg;img_3779.JPG;img_3780.jpeg;img_3778.JPG;;;;;"<p>Estilo retro para tus outfits diarios sin renunciar a la m&aacute;xima comodidad, esta es la propuesta de valor que traen consigo las 550 tambi&eacute;n una silueta muy polivalente que te permitir&aacute; combinarla tanto con tu looks m&aacute;s deportivos como con tus outfits m&aacute;s sofisticados. Tu aliada perfecta para disfrutar de una comodidad permanente.</p>
<p>&nbsp;</p>
<p>LAS HERMOSAS ZAPATILLAS CAPELLADA EN CUERO Y TEXTURA, CONSERVA TAMBI&Eacute;N UNA SUELA COCIDA EXTERNA E INTERNAMENTE. SUELA EN CAUCHO.</p>";114000.00;1;1;1384;2967;2968;2970;2023-03-14;0;;0;1;0.00;2023-02-09;2023-02-09;;;;ZAPATILLAS,BAULITO,BAULITODEMRBEAN,ROPAUSADA;;;0;0;1;1;;0;1;10x20x10;0;;;;1;;0;;;0;0;0;0
32670;"ZAPATILLAS TIPO NEW BALANCE";zapatilla.jpg;img_3801.jpeg;329793075_1616883828834014_6149190439155607196_n.jpg;img_3803.JPG;;;;;;;"<p>Estilo retro para tus outfits diarios sin renunciar a la m&aacute;xima comodidad, esta es la propuesta de valor que traen consigo las 550 tambi&eacute;n una silueta muy polivalente que te permitir&aacute; combinarla tanto con tu looks m&aacute;s deportivos como con tus outfits m&aacute;s sofisticados. Tu aliada perfecta para disfrutar de una comodidad permanente.</p>
<p>&nbsp;</p>
<p>LAS HERMOSAS ZAPATILLAS CAPELLADA EN CUERO Y TEXTURA, CONSERVA TAMBI&Eacute;N UNA SUELA COCIDA EXTERNA E INTERNAMENTE. SUELA EN CAUCHO.</p>";114000.00;1;1;1384;2967;2968;2970;2023-03-14;0;;0;1;0.00;2023-02-09;2023-02-09;;;;BAULITO,ZAPATILLAS,BAULITODEMRBEAN;;;0;0;1;1;;0;1;10x20x10;0;;;;1;;0;;;0;0;0;0
32674;"ZAPATILLAS TIPO NEW BALANCE TALLA 11";img_3793.jpeg;img_3792.jpeg;img_37189.jpeg;img_378171.jpeg;img_378182.jpeg;;;;;NULL;"<p>Estilo retro para tus outfits diarios sin renunciar a la m&aacute;xima comodidad, esta es la propuesta de valor que traen consigo las 550 tambi&eacute;n una silueta muy polivalente que te permitir&aacute; combinarla tanto con tu looks m&aacute;s deportivos como con tus outfits m&aacute;s sofisticados. Tu aliada perfecta para disfrutar de una comodidad permanente.</p>
<p>&nbsp;</p>
<p>LAS HERMOSAS ZAPATILLAS CAPELLADA EN CUERO Y TEXTURA, CONSERVA TAMBI&Eacute;N UNA SUELA COCIDA EXTERNA E INTERNAMENTE. SUELA EN CAUCHO.</p>";114000.00;1;1;1384;2967;2968;2970;2023-03-14;0;NULL;0;1;0.00;2023-02-09;2023-02-09;NULL;;;BAULITO,BALITODEMRBEAN;;;0;0;1;1;NULL;0;1;10x20x10;0;;;;1;NULL;1;1,4;2,84;3;0;0;0
32746;"PANTALONES DE PANA";img_7060.JPG;img_7062.JPG;img_7063.JPG;;img_7098.JPG;;;;;;"<p>Bellos pantalones de pana de diversos colores</p>
<p>La pana, es un tejido grueso, de tacto suave, semejante al terciopelo, liso o compuesto por fibras entrecruzadas que cuando est&aacute;n en paralelo forman el distintivo motivo con acanaladuras (bastones) verticales de peque&ntilde;o tama&ntilde;o, pero tambi&eacute;n pueden ser un poco m&aacute;s gruesos.</p>
<p>Talla 34</p>";58000.00;1;1;1384;2967;2968;2977;2023-03-03;1;B239;0;1;0.00;2023-03-03;2023-03-03;;;;Pantalones,Pantalonesdepana,Baulito,Baulitodemrbean;;;0;0;1;1;;0;1;10x20x10;0;;;;1;;0;;;1;0;0;0
32747;"PANTALONES DE PANA TALLA 32";img_7072.JPG;img_7068.JPG;img_70701.JPG;img_7071.JPG;;;;;;;"<p>Bellos pantalones de pana de diversos colores</p>
<p>La pana, es un tejido grueso, de tacto suave, semejante al terciopelo, liso o compuesto por fibras entrecruzadas que cuando est&aacute;n en paralelo forman el distintivo motivo con acanaladuras (bastones) verticales de peque&ntilde;o tama&ntilde;o, pero tambi&eacute;n pueden ser un poco m&aacute;s gruesos.</p>
<p>&nbsp;</p>
<p>Talla 34</p>";58000.00;1;1;1384;2967;2968;2977;2023-03-03;1;B218;0;1;0.00;2023-03-03;2023-03-03;;;;Pantalones,Pantalonesdepana,Baulito,Baulitodemrbean;;;0;0;1;1;;0;1;10x20x10;0;;;;1;;0;;;1;0;0;0
32748;"PANTALONES DE PANA TALLA 40";img_7076.JPG;img_7074.JPG;img_7077.JPG;img_7078.JPG;img_7079.JPG;;;;;;"<p>Bellos pantalones de pana de diversos colores</p>
<p>La pana, es un tejido grueso, de tacto suave, semejante al terciopelo, liso o compuesto por fibras entrecruzadas que cuando est&aacute;n en paralelo forman el distintivo motivo con acanaladuras (bastones) verticales de peque&ntilde;o tama&ntilde;o, pero tambi&eacute;n pueden ser un poco m&aacute;s gruesos.</p>
<p>&nbsp;</p>
<p>Talla 40</p>
<p>&nbsp;</p>";58000.00;1;0;1384;2967;2968;2977;2023-03-09;0;B237;0;1;0.00;2023-03-03;2023-03-03;;;;Pantalondepana,Baulito,Baulitodemrbean;;;0;0;1;1;;0;1;10x20x10;0;;;;1;;0;;;1;0;0;1
32752;"Buzo Gap";img_8114.JPG;img_8113.JPG;img_8112.JPG;img_8116.JPG;img_81161.JPG;;;;;NULL;"<p>Hermoso buzo gap camuflado con todas sus etiquetas</p>
<p>TALLA: L</p>";48000.00;1;0;1384;2967;2968;2973;2023-03-24;0;B101;0;1;0.00;2023-03-04;2023-03-04;NULL;;;Buzogap,Buzo,Baulito,Baulitodemrbean;;;0;0;1;1;NULL;0;1;10x20x10;0;;;;1;NULL;0;NULL;NULL;1;0;0;1
32753;"Chaqueta adidas";img_8165.JPG;img_8207.JPG;img_8167.JPG;img_8170.JPG;img_8169.JPG;;;;;;"<p>Hermosa chaqueta deportiva marca adidas.</p>
<p>Talla: L</p>";58000.00;1;0;1384;2967;2968;2973;2023-03-09;0;B143;0;1;0.00;2023-03-04;2023-03-04;;;;Chaqueta,Adidas,Baulito,Baulitodemrbean;;;0;0;1;1;;0;1;10x20x10;0;;;;1;;0;;;1;0;0;1
32773;"Chaqueta Azul, Talla S";img_9523.JPG;img_9524.JPG;img_9527.JPG;img_9529.JPG;img_9532.JPG;;;;;NULL;"<p>HERMOSA CHAQUETA AZUL CON NEGRO.</p>
<p>CON UN MATERIAL EXTERNO SEMI IMPERMEABLE.</p>
<p>PRENDA UNICA Y EXCLUSIVA</p>
<p>TALLA: S</p>";48000.00;1;0;1384;2967;2968;2975;2023-03-21;1;B288;0;1;0.00;2023-03-11;2023-03-11;NULL;;;Chaquetas,Americanas,Baulitodemrbean,Baulito;;;0;0;1;1;NULL;0;1;10x20x10;0;;;;1;NULL;1;1,2;3,12,13;1;0;0;0
32788;"BUZO FOREVER 21 TALLA M";img_8061.jpeg;img_8064.jpeg;img_8065.JPG;img_8066.JPG;;;;;;;"<p>HERMOSO BUZO DE DOS TONOS EN ALGODON MARCA FOREVER 21&nbsp;</p>
<p>TALLA M</p>";48000.00;1;0;1384;2967;2968;2973;2023-03-15;0;;0;1;0.00;2023-03-14;2023-03-14;;;;Baulito,Baulitodemrbean,Forever21,Ropaligeramenteusada;;;0;0;1;1;;0;1;10x20x10;0;;;;1;;1;1;1;1;0;0;1
